Dep_Delay,Dep_Delay_Groups,Arrival_Delay,Arr_Delay_Minutes,Arr_Del_morethan15
202,12,206,206,1
-4,-1,26,26,1
-2,-1,6,6,0
35,2,10,10,0
8,0,49,49,1
23,1,-1,0,0
-1,-1,6,6,0
-3,-1,-8,0,0
24,1,-2,0,0
267,12,242,242,1
77,5,59,59,1
21,1,-1,0,0
28,1,21,21,1
12,0,14,14,0
8,0,90,90,1
150,10,145,145,1
241,12,242,242,1
24,1,16,16,1
37,2,62,62,1
178,11,159,159,1
90,6,98,98,1
89,5,70,70,1
147,9,129,129,1
9,0,7,7,0
14,0,9,9,0
-4,-1,-31,0,0
19,1,6,6,0
10,0,8,8,0
200,12,174,174,1
5,0,46,46,1
-2,-1,-21,0,0
-5,-1,-21,0,0
1,0,-5,0,0
75,5,81,81,1
88,5,83,83,1
46,3,26,26,1
-2,-1,-12,0,0
-1,-1,-16,0,0
71,4,52,52,1
139,9,122,122,1
2,0,-4,0,0
12,0,14,14,0
-1,-1,-12,0,0
2,0,-7,0,0
1,0,-5,0,0
-1,-1,5,5,0
33,2,36,36,1
148,9,132,132,1
33,2,28,28,1
227,12,202,202,1
75,5,131,131,1
9,0,27,27,1
-5,-1,-22,0,0
-3,-1,-26,0,0
-6,-1,-37,0,0
